Title,Name,Region,Address,Town,Postcode,Telephone,Email,Contact first name,Contact last name,Description,Access,Cost,Website address,Sector,Sector - other
Agoriad,Agoriad,Wales,Porth Penrhyn,Bangor,LL57 4HN,01248 361392,sharon@agoriad.org.uk,Sharon,Morris,"Agoriad exists to support and facilitate the progression of disabled people into work. We provide in house training and re-skilling and supported employment. We deliver successfully JobCentre Plus programmes - Gateway, Work Preparation and Workstep-, SkillBuild, and our own courses, and have Service Level Agreements with Gwynedd and Anglesey County Councils for Learning Disability Day Services. We work across North Wales.",adult,NO,www.agoriad.org.uk,Employment Services,
Rainbow Parents Group,Rainbow Parents Group,S.W. England,Various Locations,East Dorset,BH21 2LP,01202 881635,,Pam,Henderson,Rainbow is a parents support group which has been running successfully for the last 22 years.  We all have a child (age range from 7 to 27) with a disability of some sort.  We meet for friendship and to exchange information.  If you are a parent ring and ask for our programme.  We meet in members' homes and other places in East Dorset. We welcome younger siblings at our meetings.,all,No,,Support Service,
PLINTH (Parent Led INitiative Towards Housing,PLINTH (Parent Led INitiative Towards Housing,S.W. England,East Dorset,Wimborne,BH21 2LP,01202 881635,plinth@btinternet.com,Pam,Henderson,"Who will care when parents are no longer well enough? What happens when we die? Our special needs offspring are vulnerable. According to the Mencap report ""The Housing Time Bomb"" there are 29000 people with a learning disability in Britain living with parents over the age of 70. Then there are those of us who are younger with young people who have been taught at school to expect to be independent and to have the necessary skills. Local authorities are not planning to provide enough housing to meet this need and as the report says there is a time bomb waiting to go off. Help us press local housing authorities to recognise the needs of our 'children'. We do not want to see the large hospital-type institution brought back as the only option to house such large numbers of vulnerable adults!",all,No,,Housing,
Assistive Technology Supplier,Jackson Technology,All of UK,"24 Kiltipper Avenue,Aylesbury,Dublin 24,Ireland",Dublin,IE,353 1 4624793,djackson@iol.ie,Denise,Jackson,"A Range of assistive technology for computer and print acess.
Equipment for visually impaired, jaws, Zoomtext, Kurzweil 1000, Supernova, CCTV print magnifiers. For dyslexia, Kurzweil 3000, Dragon Naturally Speaking, Reading Pen. We also represent Inclusive Technology and Don Johnston for a wide range of software and hardware products.",all,variable depending on product,www.jacksontechnology.com,Computers & The Internet,Computer & Print Access Technology
Your Library,Chelmsford Library,S.E. England,"Market Road,Chelmsford,Essex",Chelmsford,CM1 1LH,8456037628,answers.direct@essexcc.gov.uk,Answers,Direct,"You can borrow books, hire DVDs, music CDs, or audio books. Use our information and enquiry service, or telephone Answers Direct 0845 603 7628.Use our computers for e-mail, Internet, writing a letter, finding information or learning; all computers can read text to you, with symbol software in larger libraries.  There are 71 other libraries and 13 mobile libraries across Essex. A tour of your library can be arranged for new members or groups",all,Free to join,www.essexcc.gov.uk/libraries,Other,"Leisure, learning and Information"
Special Education for All,Bridge Education,S.E. England,"12 Rodney Crescent,Hoddesdon,Herts",Hoddesdon,EN11 9EW,01992 413125,bridge.education@ntlworld.com,Rob,McConnell,"Bridge Education offers educational provision for individuals or groups with a range of learning disabilities.
Our team of professionally qualified, fully insured and experienced teachers all hold current enhanced CRB. (CV available)

Bridge Education have developed and delivered educational programmes for individuals / groups with PMLD, SLD and MLD within the following settings
* Home Tution
* Day Centres
* Inter agency
* Hospitals
* Schools 
* FE Colleges

We also offer
* Intensive Interaction
* Buddy / Mentor activities (evening / weekend)
* Respite residentials
* Themed weekend workshops
* Parent / Carer / Support programmes

For further information please contact Bridge Education",all,Yes,,Education,
Special Needs Holidays - Senior Citizens - Disabled Persons - Families & Groups With Special Needs,Special Needs Holidays,All of UK,"67-72 High Street, Rayleigh Essex SS6 7EA",Rayleigh,SS6 7EA,0871 218 4000,specialneedsholidays@lycos.co.uk,Ian,Wild,"Holiday Service Customer Code:SH-1154
'Roca-Rara' is a Sunshine Full Board Holiday Package, specifically designed to provide total peace of mind, to facilitate any required level of additional care support or assistance as may become necessary throughout the holiday period. This package holiday service offers everything needed for clients and carers to enjoy a fantastic holiday experience at a luxurious Mediterranean villa situated in one of the most picturesque areas on the Spanish sunshine coast. At 'Roca Rara' we accommodate group bookings from 4 to 16 persons. Our Managers and Staff are totally committed, providing 24 Hour assistance with Client support and Carer back up services from the moment you arrive at Malaga airport. We cater for all special individual needs and requirements. Any special requests are considered our privilege to provide and we always endeavour to ensure all needs are supplied in a comfortable, caring and totally safe environment.
SPECIAL NEEDS HOLIDAYS REGISTERED ABTA & ATOL PROTECTED.
Based in Nerja - Southern Spain",all,yes,www.specialneedsholidays.com,Tourism,
Residential Care Home,Essandore Care Group,All of UK,"51B Rainford Road,St.Helens,Merseyside,WA10 6BZ",St Helens,WA10 6BZ,01744 454560,gail@essandorecare.co.uk,Gail,Murray,Residential and Respite Care for Children with Learning and Physical Disabilities and Autistic Spectrum Disorders.,children,Yes,www.essandorecare.co.uk,Other,Care Sector
Special Needs ICT Services,M A Gomm Ltd,All of UK,"30 Redstart Way,Abbeydale",Gloucester,GL4 4TJ,1452507585,enquiries@magomm.co.uk,Mike,Gomm,"Range of services including:
•	Technology and disability consultancy
•	IT Assessment
•	Equipment acquisition and installation service
•	Project Management
•	Presentations and Training",all,Depends upon service required,www.magomm.co.uk,Computers & The Internet,Technology
Sound Reading,Sound Reading System,S.W. England,3 Chester Close,Exeter,EX4 2EJ,01392 438844,susan@godsland.net,Susan,Godsland,"Independent, home-based (Exeter), remedial reading tutor using the 'Sound Reading System'; a brain-friendly, fast-working, synthetic phonic programme that teaches children to read, write and spell. The programme requires a significant amount of parental involvement. Leaflet available.",children,Ring or email for details.,www.ourrighttoread.com,Tutor,
Widgit Software,Widgit Software,All of UK,"124 Cambridge Science Park,Milton Road",Cambridge,CB4 0ZS,01223 425558,info@widgit.com,Sue,Godfrey,"Widgit provides software solutions for people with Special Needs. Our products are designed to develop literacy using pictures, symbols and words, particularly for learners who have a measure of difficulty in developing traditional orthographic skills.",all,,www.widgit.com,Software Company,
"Autism Support Group, Advice and Information",The South Lakeland Autism and Asperger Syndrome Support Group,N.W. England,"4 Fall Beck Cottages, Gatebeck, Kendal, Cumbria. LA8 0JE",Kendal,LA8 0JE,1539567177,autisticspectrumdisorders@postmaster.co.uk,Sally,Percival,"As a group we meet once a month, we offer a 24 hour support network for each other and families who just need someone to talk to, we offer advice and information, write our own liturature, we raise public awareness and lobby and educate professonals in the relevant fields.",all,no,www.southlakesautism.co.uk,Advice,
Training and Education,Guildford College,S.E. England,"Guildford College,Stoke Park Campus,Guildford,Surrey,GU1 1EZ",Guildford,GU1 1EZ,01483 448500,info@guildford.ac.uk,Advice and,Guidance,We are a college of further and higher education who also offer training for people with special needs,adult,,www.guildford.ac.uk,School / College,Further Education
Write Away - for friendship and communication,Write Away,All of UK,1 Thorpe Close,LONDON,W10 5XL,0845 456 5450,info@write-away.org,Andy,Grout,"Lonely? Need to boost your confidence? Need a friend?

Write Away may have the answer!

Our small national charity brings together both children and adults through our unique penfriend clubs.
Anyone can join our clubs, whether you have a disability or special need or not. We can match people of similar ages, with similar disabilities, different disabilities or those with similar interests or hobbies depending on your preference. Our clubs help widen users' friendship circles and helps users to build their confidence.",all,£5 for children £10 for adults ( joining fee),www.write-away.org,Charities,
Community Connecting magazine,Community Connecting magazine,All of UK,"Community Connecting,Suite 63,151 High Street",Southampton,SO14 2BT,01256 773115,CommunityConnecting@runbox.com,Steven,Rose,"Community Connecting is a new learning disability magazine with correspondents from across the UK and the Republic of Ireland. It is of broad-based interest aiming to be of equal interest to parents and family carers, people with learning disabilities and professionals.",all,£20 Quarterly subscription,,Media & Communication,
Books Beyond Words,St George's University of London,All of UK,"Department of Mental Health - Learning Disability,St George's Hospital Medical School,Jenner Wing,Cranmer Terrace",London,SW17 0RE,020 8725 5512,dduncan@sghms.ac.uk,Dorothea,Duncan,"Books Beyond Words are A5 picture books that tell stories about important or difficult events that happen to people in their lives. People with learning disabilities have a major input into the books which are specially developed for them as well as for their carers and supporters plus medical and other professionals. Subjects covered include going to the doctor or hospital, bereavement, cancer, sexual abuse, being put under arrest or on trial and dealing with epilepsy. Books Beyond Words are published jointly by St George's Hospital Medical School and the Royal College of Psychiatrists. For more information about the series see following website: www.rcpsych.ac.uk/publications/bbw",adult,The books cost £10 each (including postage & packing),www.rcpsych.ac.uk/publications/bbw,Communication Aids / AAC,Education
Video Productions,Diverse Identities Productions,All of UK,"149 Wellmeadow Road,Hither Green",London,SE6 1HP,0208 697 5215,socorra@mac.com,Simon,O'Corra,"Producers and makers of videos with and for people with learning difficulties and their carers e.g. Partnership Board Audits, Individual interviews with people with High Support Needs, Storytelling workshops, Service User Partnership Board groupwork, Carers forum film, lesbian and gay people with learning difficulties. We can cater to your needs and produce short films to use for training, presentations and lobbying.",all,Yes depending on content,,Media & Communication,
Day Service,Bramingham Day Centre,S.E. England,Weltmore Road,Luton,LU3 2TN,01582 573408,PHARRY159@aol.com,Peter,Harry,"We are a local council run centre providing a day service for adults with a moderate to severe learning disability.We cater for around 130 people.We are currently offering a service under one roof as a traditional Day Centre. We have a group that has begun an employment experience project, running a  community centre cafe.We have also set up a social enterprise unit which mainly specialise in horticulture.We have recently set up a Teacch unit based in the centre. We would be pleased to share experiences on any aspect of our services with other Day Centres.",adult,,,Day Centre,
UWE-Bristol FH&SC Learning Disabilities Team,UWE- Bristol,All of UK,"Glenside Campus,Blackberry Hill,Stapleton",Bristol,BS16 1DD,0117 3288563,neil.summers@uwe.ac.uk,Neil,Summers,"The School of Mental Health and Learning Disabilities consists of a well-established team of academic staff contributing to a wide range of undergraduate and postgraduate programmes. Pre-qualifying nursing programmes are offered in Mental Health and Learning Disability Nursing at degree and diploma level. 

A range of post-qualifying programmes are also offered including MSc Mental Health, Postgraduate Certificate in Primary Mental Health and the Certificate in Empowering Practice for staff supporting people with learning disabilities. The School is well placed to offer a full range of teaching opportunities for practitioners wishing to enhance their careers. 
In addition, extensive liaison activities are undertaken with NHS Trusts and other external agencies to ensure that, in the rapidly changing context of Mental Health and Learning Disability practice, both local and national issues are addressed, resulting in innovative staff development opportunities. These include, for example, joint appointments with Trusts, collaborative research projects, users and carers on work based programmes and secondments. We are justly proud of the warm, friendly, and supportive working environment within the School.",all,yes,http://hsc.uwe.ac.uk/hsc/index.asp?pageid=115,Education,
Good Moves of Gloucestershire,Good Moves of Gloucestershire,All of England,"Mail address:,C/O Minchinhampton Parish Council,The Trap House,West End,Minchinhampton,Gloucestershire",Gloucestershire,GL6   9JA,01453 886465,admin@good-moves.org.uk,Connie,Willliams,"Good Moves is a newly created Charity, still in its infancy, that hopes to raise consciousness of the needs of adults with PMLD and ultimately to  develop a PMLD-accessible centre for leisure and movement opportunities in Gloucestershire",adult,Not applicable,www.good-moves.org.uk,Charities,PMLD Leisure Requirements
The Scottish Society For Autism,The Scottish Society For Autism,Scotland,"The Whins,Hilton House,Alloa Business Centre,Alloa,Fk10 3SA",Alloa,FK10 3SA,01259 720044,autism@autism-in-scotland.org.uk,Morna,Duncan,The Scottish Society for Autism is an independent Scottish registered charity established in 1968 and is committed to working for the rights and quality of life for persons of all ages with ASD in Scotland.,all,,www.autism-in-scotland.org.uk,Charities,
Helen Arkell Dyslexia Centre,Helen Arkell Dyslexia Centre,All of UK,"Frensham, Farnham, Surrey, GU10 3BW",Farnham,GU10 3BW,01252 792400,enquiries@arkellcentre.org.uk,Caroline,Walker,"The Helen Arkell Dyslexia Centre is the oldest dyslexia centre in the UK. It provides assessments, tuition, therapy, specialist teacher training courses and short courses for both children and parents. It also has an extensive specialist bookshop and resource centre.",all,Yes,www.arkellcentre.org.uk,Assessment,
Special Needs Products and Services,Sensory Technology Ltd,All of UK,"48 Long Meadow,Eccleston,St.Helens",Merseyside,WA10 4LS,01744 25037,info@senteq.co.uk,Jan,Benyon,"Sensory Technology is a company specialising in the design, manufacture and installation of products, services and systems for the special needs market.
A wide range of products available directly off our website.  Design and installation of Sensory Rooms, Sensory Gardens and other bespoke projects.",all,"Yes, but inexpensive",www.senteq.co.uk,Sensory Equipment,
Options for Life,Options for Life,Midlands,"Oak Green Lodge,Oldbury,B68 8LR",Oldbury,B68 8LR,0121 544 6611,admin@optionsforlife.info,Liz,Tilly,"Options for life is a voluntary organisation based in Sandwell.  We enable people with learning disabilities to make the most of their lives by taking part in social and leisure activities, using local community facilities and individual support using the support and friendship of staff and volunteers.  Options for Life has eight individual day services, which also offer some weekend and evening activities.  Also, there are support services, which provide practical support for people with mild learning disabilities in their own homes, including people who have children.  We also run a gardening social business, and we have an in-house cafe and art studio.",all,,www.optionsforlife.info,Day Centre,Support Services
Care & support to adults with learning disability & special needs,Dawaking Care Ltd.,N.W. England,"Office 8 & 9, Railway House,Railway Road",Chorley,PR6 0HW,01257 230505,michael@dawakingcare.co.uk,Michael,Welsh,"Providing, residential service, supported tenancies, and domiciliary support to adults with a learning disability in the Chorley, South Ribble and West Lancashire areas.We will also develop support services in the Preston, Blackburn, Knowsley, St Helens, and Wigan areas.",adult,Costs are based on need & type of service required.,www.dawakingcare.co.uk,Support Service,
Free Training to support parents with learning disabilities,Mencap,N.E. England,"Mencap, The Holybrook Centre, Redcar Road, Greengates, Bradford, BD10 0DP",Bradford,BD10 0DP,07985 260462,gail.wickenden@mencap.org.uk,Gail,Wickenden,"Supported by the Parenting Fund, a training pack has been created by the Ann Craft Trust, and will be delivered free of charge to parent support organisations by a Mencap trainer. The training is designed to be delivered over two full days. The training is specifically for volunteers and staff working within parent support organisations. 

The training is designed to help supporters to become more aware of learning disabilities and the difficulties that parents with learning disabilities face. It should make volunteers feel more confident in the support that they can offer to parents with learning disabilities. It should also assist your organisation in reaching and supporting all members of the local community. 

Once we have delivered the two days of training, we will leave a training pack with your organisation so that it can be used in the future as refresher training or training for new starters.",all,no,www.mencap.org.uk,Training,
Gwent Healthcare NHS Trust Learning Disability Service,Gwent Healthcare NHS Trust,Wales,"Alders House,Llanfrechfa Grange Hospital,Cwmbran,Torfaen",Cwmbran,NP44 8YN,01633 623558,Haylie.Owen@gwent.wales.nhs.uk,Haylie,Owen,"Gwent Healthcare NHS Trust provides specialist healthcare for individuals with a learning disability living in Gwent. We have five community learning disability teams. The teams are based in Blaenau Gwent, Caerphilly, Monmouthshire, Newport and Torfaen. We also have an Assessment and Treatment Unit where people with a learning disability can stay for a short period of time to get the help they need.  For more information please visit our website www.gwent-tr.wales.nhs.uk",adult,No,www.gwent-tr.wales.nhs.uk,Health Care & Advice,Specialist Learning Disability Healthcare
National LD and ethnicity network,ARC,All of UK,"ARC House,Marsden Street,Chesterfield,S40 1JY",Chesterfield,S40 1JY,1246555043,bridget.fisher@arcuk.org.uk,Bridget,Fisher,The ethnicity network shares good practice and encourages people interested in LD and minority communities to link together. It is a Dept of Health funded project for 3 years. We produce 4 newletters a year and have an annual conference. Currently we have about 1000 members and to join send an email. We have a web site with back copies on plus short time span information www.lden.cswebsites.org,all,No,www.lden.cswebsites.org,Advice,
