Title,Subject,Description,Website,,,,
Interconnections Bulletin,,"The Electronic Bulletin goes free to over 3,500 people in all parts of the UK and Ireland and then finds it way into many other networks and countries. The address list includes people from health, education and social services, the voluntary and private sectors, parent organisations, research organisations, campaign offices, etc. People who receive the bulletin are welcome to forward it to their own colleagues and networks and to use the information in newsletters and bulletins as long as the Interconnections Electronic Bulletin is acknowledged.

Information in the Bulletin can include:

• News from other networks

• News of government initiatives

• Information about forthcoming conferences, meetings and events

• Features about examples of good practice and innovative work

• Summaries of research findings

• Questions to which people are seeking answers

• Information about small organisations and campaigns

• Job vacancies",http://www.icwhatsnew.com/,,,,
Pavilion Publishing,,"Pavilion is a source of training resources for those working in social, healthcare and housing providing care provision. We publishes around 40 training packs specifically for those working with those with learning disabilities as well as the Learning Disability Review and Living WELL journals. We also run the Learning Disability Today exhibitions in London, Scotland and Manchester and around 10 learning disability conferences a year. For more information call 0870 161 3505 or visit www.pavpub.com",http://www.pavpub.com,,,,
Facial Expressions,,,http://www.do2learn.com/games/facialexpressions/face.htm,,,,
UK Health and LD Network,,"This is an open network to anyone interested in health issues and learning disability. It is free but you'll need an email facility. There are approximately 1200 members nationally and we have network meetings four times a year -always 11-3pm. The remit of the forum is to assist practitioners with the health agenda, to problem solve, share information and to network. To join please email Janet Cobb - janet.cobb@nwtdt.com",http://www.nwtdt.com/,,,,
Zen Key - Computer Control Through Your Keyboard,,"The Zenkey is a FREE program that allows you to control almost all aspects of your computer via the keyboard.  It can control the speed of the mouse pointer from keyboard shortcuts. Using keystrokes that work no matter which program you are in, you can do actions like launch a program or bring it back into focus; open a document, folder or Internet resource; perform an Internet search; minimize or maximize a window; issue a Media command. You can add any program, add or alter any menu, and assign any keystroke to perform any action. A massive thank you to David Colven for recommending this. Works on 2000/2003/XP/Vista/7 machines.",http://zenkey.sourceforge.net/,,,,
Cerebral Palsy Source,,"This site provides you with information and news on Cerebral Palsy and birth related injuries.  It is a dependable one-stop site for persons looking to gain education, support and legal help.  People who are diagnosed with, or are friends and relatives of people with Cerebral Palsy, need a community with trustworthy resources and a place to discuss anything from coping, to real day to day activities, get newsworthy medical updates, and more.",http://www.cerebralpalsysource.com,,,,
Communication 4 All,,"A New SEN Resource Site, with lots of free downloads and practical product ideas. Includes sign language resources and visual presentations.",http://www.communication4all.co.uk,,,,
Dynamo Maths,,Dynamo Maths is a three stage programme that addresses the needs of children who are dyscalculic or struggling with maths. It develops an intuitive grasp of number and number relationships using audio and visual stimuli. The programme supports the research that indicates that there may be specific areas such as working memory impairments or core deficits in acquiring these early vital mathematical skills. Dynamo Maths  supports the thinking process of children struggling with maths and has drawn extensively from research on how the brain learns maths.,http://www.dynamomaths.co.uk,,,,
Ableize,,"UK disability and health web directory. Site includes  advice, 
information, disabled goods, facilities and services with  comprehensive listings of 
specific disabilities and children's section also  access issues, education and 
the arts.",http://www.ableize.com,,,,
Maths resources,,"There are a number of maths resources suitable for adults and children with problems with reading the time, sequencing and maths functions.",http://www.ravivpracticelondon.co.uk/resources.html,,,,
Educational Psychology Toolbox,,"E P Toolbox is a website for handouts, short articles, videos and lots of other very helpful resources.",http://www.eptoolbox.co.uk/,,,,
Personal Communication Passports,,"What are Communication Passports?
Find out why they important and why you should use them.

How do I make a Passport?
Resources for planning and producing a Passport.

Where can I get training and support?
Several courses on Passports are available from CALL Scotland.
An excellent site that will tell you all you need to get started and develop useful, personal communication tools.",http://www.communicationpassports.org.uk,,,,
Intensive Interaction web resources,,"Intensive Interaction is a practical approach to interacting with people with severe or profound and multiple learning disabilities and/or autism. There is nothing difficult or expert about Intensive Interaction, it is a very practical approach to communication and socialising with people who do not find it easy communicating or being social.

Visit the website for further information downloads and links provided by Leeds Partnerships NHS Trust",http://www.leedspft.nhs.uk/our_services/ld/intensiveinteraction,,,,
Man in the Dark,,"Weird and addictive, use your mouse / touch screen to move and watch the man loop and twist around the screen.  Clicking once with the mouse begins a repeating animated sequence of more and more men, clicking again returns you to just one.  Excellent for early mouse skills, group work..

Thanks very much to Trish and Gill for finding this oddity.",http://www.maninthedark.com/,,,,
Online Colouring Books,,"This is a lovely resource - part of the ton of books, puzzles and games for children of all ages on Magic Keys. Use mouse or touchscreen to choose from standard painting tools and a range of colours to create your own picture. There are loads of outlines to keep you busy - from flowers to footballers. Great practice for struggling mouse users, or for those budding artists that find an adapted mouse / touch screen access much more successful than using a paintbrush. You can print outlines to colour off the computer or your finished work to show off.",http://www.magickeys.com/books/color/,,,,
Rebound Therapy dot Org,,"The website for rebound therapy. Rebound therapy is the phrase used to describe special needs trampolining; the use of trampolines in providing therapeutic exercise and recreation for people with a wide range of special needs. Participants range from mild to severe physical disabilities to mild to profound and multiple learning disabilities. Prior to the formation of Rebound Therapy dot Org, very little published information was available for rebound therapy or special needs trampolining. However the forum now provides an opportunity for those involved to publish and share their experience and for students to find and request information.",http://www.reboundtherapy.org,,,,
Charlie's Graphics,,"This is a very useful FREE resource where you can browse and download graphics, intended to support facilitators who are planning with people, or anyone looking to make information easier to understand. The graphics are age appropriate and simple in design.  You need to register to browse the gallery which is free and took Check The Map about five seconds. An invaluable resource - thanks to Charlie for telling us about it.",http://www.charliesgraphics.com/about.htm,,,,
Stair Lift Advisor,,"It is a reality that some people with learning disabilities can also have mobility impairments. This can make daily tasks such as climbing the stairs a struggle. StairliftAdvisor.co.uk offers impartial advice on choosing a stairlift, which can bring peace of mind and independence.",http://www.StairliftAdvisor.co.uk,,,,
Click Special ED,,"Full of FREE resources, excellent materials and a brilliant example of how the web can be used to connect people, ideas and resources for our community. While its focus is on the other side of the world much of the content is relevant to everybody. Thanks to Sally Paveley for suggesting this site.",http://www.clickspecialednz.com,,,,
Essex Libraries,,"You can borrow books, hire DVDs, music CDs, or audio books. Use our information and enquiry service, or telephone Answers Direct 0845 603 7628. Use our computers for e-mail, the Internet, writing a letter, finding information or learning; all computers can read text to you, with symbol software in larger libraries. View art exhibitions. A tour of your library can be arranged for new members or groups.",http://www.essex.gov.uk/libraries-archives/libraries/Pages/Essex-Libraries.aspx,,,,
Enabled London,,"Finding out about places with good access, amenities and attitude in London.",http://www.enabledlondon.com/,,,,
EQUALS,,"Equals is committed to improving the lives of children and young people with learning difficulties and disabilities through supporting high quality education. We promote, share and reflect best practice in learning and teaching through collaborative working with practitioners and professionals at a national, regional and local level.

EQUALS aims to:
• Promote the highest standards of education for pupils with learning difficulties.
• Influence the educational practice and policy at local, regional and national levels by consulting and liasing with QCA,

   DfES, OFSTED and the TDA.
• Support teachers in applying governmental policy in the education of children with learning difficulties.
• Foster high quality innovative practice, through the publication of relevant and rigorous support materials.
• Advance the entitlement of pupils with learning difficulties to equality of opportunity.
• Facilitate the rights of pupils to speak for themselves.
• Voice the concerns of teachers and head",http://www.equals.co.uk,,,,
Dance Mat Typing,,"A free typing tutor with animations, spoken instructions and a colourful, fun interface that can be made full screen.  The program has different levels of difficulty and simple typing exercises with visual feedback at each stage.  Our thanks to Ann Middleton for this useful link.",http://www.bbc.co.uk/schools/typing/,,,,
EQUALS,,"Equals is committed to improving the lives of children and young people with learning difficulties and disabilities through supporting high quality education. We promote, share and reflect best practice in learning and teaching through collaborative working with practitioners and professionals at a national, regional and local level.

EQUALS aims to:
• Promote the highest standards of education for pupils with learning difficulties.
• Influence the educational practice and policy at local, regional and national levels by consulting and liasing with QCA,

   DfES, OFSTED and the TDA.
• Support teachers in applying governmental policy in the education of children with learning difficulties.
• Foster high quality innovative practice, through the publication of relevant and rigorous support materials.
• Advance the entitlement of pupils with learning difficulties to equality of opportunity.
• Facilitate the rights of pupils to speak for themselves.
• Voice the concerns of teachers and head",http://www.equals.co.uk,,,,
WordBank,,"A website helping people to understand difficult words and jargon. Also, a tool which can be used on your own website.",http://www.word-bank.com,,,,
Communication Matters,,"Communication Matters is a UK national charitable organisation of members concerned with the augmentative and alternative communication (AAC) needs of people with complex communication needs.
Communication Matters is also known as ISAAC (UK) - the UK Chapter of the International Society for Augmentative and Alternative Communication (ISAAC) - and is a core member of the Communications Forum.",http://www.communicationmatters.org.uk,,,,
Access Keys,,A directory of accessible websites to help people find what they need quickly. Users are invited to recommend sites and comment on the sites already listed.,http://www.accesskeys.org,,,,
Sky Writing,,"Skywriting is taken from the growing bank of free to use tools and resources created for teachers who are teaching with an interactive whiteboard (IWB) on their main site www.iwb.org.uk

For pupils learning about letters, large motor movements can really help to make the activity fun and memorable. This is a wonderful whiteboard / touch screen resource for group or individual work.",http://www.ictgames.com/sky_writing.html,,,,
Living with Cerebral Palsy,,A site set up to share the owner's experiences of living with Cerebral Palsy and Scoliosis with other people.,http://www.livingwithcerebralpalsy.com/,,,,
Knee Bouncers - switch games selection,,"These are designed for a younger audience, but make wonderful switch/early keyboard activities with simple cartoon graphics and sound effects. Choose from 'Underwater Adventure' (any key press gets an animation); 'Guitar, Piano and Drums' - any key press generates a sound - fantastic for switch group work; 'Jump & Float', and 'Peekaboo' are great for sustaining holding down a switch or key - the longer you hold the key down the longer you see the picture; 'Balloons, Bubbles & Flowers' is a nice sensory activity where each key/switch press creates a bubble that floats upwards then  pops satisfyingly. Lastly, there's 'All Aboard' when a train chugs into view and each key/switch press animates a bit of the train.  My favourite is Jump & Float - but you be the judge. Our thanks to Jim Robinson of 'Punch' for permission to add this to Check The Map.",http://www.kneebouncers.com/kneebouncers.html,,,,
Parents of Autism UK,,"Designed as ""self-help"" group for parents of children of any age Unlike many similar groups this is run by parents of an autistic child. Anyone can join by request.  Pleased be assured we will not allow ANY on-line bullying swearing or other unsuitable behaviour!",http://groups.google.co.uk/group/Parents-of-Autism-UK?hl=en,,,,
Jackson Pollock - Create some Abstract Art,,"Thanks to Charlie Danger for telling us about this beautiful site. Use your mouse, headpointer, rollerball or joystick (or finger on a touch screen / whiteboard) to create the next masterpieces of the art world.  To change colour click your mouse etc.  This is a brilliantly simple program with no confusing buttons or distractions.  Have fun.",http://www.jacksonpollock.org,,,,
Hypnotherapy Directory,,"This website is a support network of UK hypnotherapists, with information on their training and experience, areas of hypnotherapy, fees and contact details. This service is free, confidential and easy to use.

The link below shows results for hypnotherapists working with those with Disabilities.",http://www.hypnotherapy-directory.org.uk/search.php?search=Disabilities&search_entire_site=yes,,,,
CANDLE Free Downloads,,Resources and guidance booklets,http://www.contactcandle.co.uk/downloads.htm,,,,
Sensory World,,"Freely available interactive website designed especially for adults with learning disabilities, set around a virtual house.  Visit the kitchen and learn about Health and Safety, Nutrition and Hygiene.  Go into the Music Room and create your own band or orchestra.  Take a look at the sensory room and choose your own themes for the bubble tubes, glitter ball, star mat etc.  A Money Manager will also help you keep track on your finances.  Watch this site, as it is currently in the second phase of development which will see the addition of a sensory garden amongst other elements.",http://www.sensoryworld.org,,,,
Musical Mouse or Touch Screen,,"This is brilliant! Practice simple mouse or touch screen movements and be rewarded by colour and a choice of sound effects or catchy music.  If you know anyone of any age who is struggling to use a mouse, you must check out this link.  Thanks very much to the Help Kidz Learn team at Inclusive. 

NB, this also works in conjunction with EnorMouse (also linked to Check The Map) if the intended player has a visual impairment.",http://www.helpkidzlearn.com/creative/mouse_movements.html,,,,
Mini-Miracles Children's Clothing,,A line of adaptive clothing for children and adults with special needs.  Based in Canada with delivery worldwide.,http://www.minimiracles.ca,,,,
Video Tutorials for Special Needs,,"Video tutorials to help you make fun, accessible and age appropriate activities for Special Needs. You will find lots of 'step by step' video tutorials to cover areas such as using images, sound and video. The tutorials are suitable for the 'non-technical,' and develops  skills as you work through 'real usable' projects. Tutorials are arranged in bundles so you can target your training appropriately. You will find that the subscriptions are very, very affordable.",http://www.specialbites.com/,,,,
Colouring For All,,"Plenty of black and white pictures ready to be coloured in at the click of a mouse. This doesn't appear to be switch accessible but could be made so as part of a paired activity. It's easy and fun, great for mouse skills, choice making and more. Thanks to Manicheta for the recommendation.",http://www.coloring4all.com/,,,,
FunGooms,,"Fungooms is a games website that has been designed to be extremely simple to use. All the navigation and games can be used just with the mouse. The site is completely intuitive. No instructions are required and no reading is needed. The site is based around very simple icons.

The games are centered around very friendly loveable characters and have been designed to be purely fun and keep frustration to a minimum. There are no penalties or scores, only amusing events, surprises and gentle calming music. We have taken a minimalistic approach to the appearance so that the player does not get confused or overwhelmed.

All the games are designed to be played in full screen by pressing f11 so that the player does not have to struggle to see what's going on. Our thanks to Ned Langman for this recommendation.",http://www.fungooms.com,,,,
Foetal Alcohol Spectrum Disorders,,"Awareness’ Support, Education, Research of  Foetal Alcohol Spectrum Disorders  provides informed aspects and understanding of early interventions for parents and all professionals and Nation wide support network.",http://www.fasaware.co.uk,,,,
User design,"Accessibility Services,Graphic and website design","Accessibility Services - Graphic and website design

User design offers a large, giant and clear print transcription service. We also offer a range of other services: design (book design, book cover design, graphic design, information design, publication design, website design), illustration (freehand, technical) and production (corrections, scanning, typesetting). We are committed to high quality, usable and engaging solutions, produced on time. User design can also make your communication inclusive, more usable, environmentally friendly and perform to a high standard. Since 2005 we have mainly been working for book publishers. If you need some help or advice, or if you require any further information, please visit www.userdesign.co.uk.",http://www.userdesign.co.uk,,,,
Focus on Disability,,"Supporting website for disabled people with
disability information, benefits, welfare reform, health issues and mobility information,
email advice, learning disability page and independent living products in the UK",http://www.focusondisability.org.uk/,,,,
Special Needs Jungle,,"Special Needs Jungle offers information, resource signposting and informed opinion on SEN and disability services",http://www.specialneedsjungle.com,,,,
myGaze,,"The new myGaze Power is here!
Intuitive and powerful PC control
Visual Interaction, the company that developed the award winning myGaze Assistive Eye Gaze that helps today thousands of children and adults with special needs, introduces the new myGaze Power.

myGaze Power gives people with disabilities the ability to control the PC. It is an intuitive, quick and powerful way to access everything on the computer: the Internet and social media, music and video players, electronic books and games, communication software, emails, MS Office and much more. It empowers people to preserve their independence and reach their aspirations.

The new myGaze Power includes the reliable and hi-performing myGaze n eye tracker and the powerful, yet intuitive EyeMouse Power software for full Windows control.",http://www.mygaze.com/products/assistive-products/mygaze-power/,,,,
Speech Blog,,"This is a great find - Two British Speech Therapists blogging about all things speech and language. Information for parents: Helpful tips and ideas to encourage speech and language development in children. Information for teachers: Useful information about how to help, for teachers and other professionals who work with children.Information for SLTs: Sharing therapy ideas and resources. Seriously, take a look - you'll be glad you did.",http://speechbloguk.com/,,,,
Research Autism,,"Research Autism is the only UK charity focussing on research into interventions in autism. Its goal is the improvement of quality of life for individuals with autism and their families. It carries out research into health, education, social and other interventions with the support of some of the world's leading figures in autism and research. Research Autism also host conferences for people with autism, parents/carers and professionals. The conferences are an opportunity to learn from researchers, practitioners and people on the autism spectrum.",http://www.researchautism.net,,,,
Special Educational Needs - Getting started with statements,,This resource description has moved,/resources/parents_carers_and_professionals/copy_of_SNJ-1,,,,
Book Share,,"Do You Need Help Reading?
Bookshare® helps people with learning, visual, and physical disabilities read with accessible ebooks.

Our books are accessible and allow you to read books in different ways.  You can listen to words read aloud, see text on the screen and hear words as they are highlighted, read in braille or large fonts, and more!

Our UK collection has nearly 200,000 titles that can be used for school, work, and pleasure reading and can be read on many different technologies, including computers, tablets, smartphones, assistive technology devices, and MP3 players.",https://www.bookshare.org/cms/promo/dyslexia-action,,,,
Evexia Centre,,"EVEXIA Company profile EVEXIA medical and rehabilitation center is one of the healthcare leaders in Greece since 1994 providing high quality effective services to patients from all over the world. It strives to provide patients with an exceptional level of care through advanced technology, professional expertise and an exceptional level of personalized care. Our top priority is delivering safe and high quality care to every patient and fully accessible accommodation for senior people and people with special needs.",http://www.evexia.com,,,,
Open Colleges use of Technology in SEN,,A very useful article about the use of technology in assisting with learning disabilities - our thanks to Dirk Tiu for the recommendation,http://www.opencolleges.edu.au/informed/features/what-can-technology-do-for-disabled-learners,,,,
Sensory App House,,"A wonderful collection of apps mostly for Apple iOS devices, which are fun, stimulating or useful. Accessible and excellent. Thank you to Katie Kendall for this brilliant find.",http://www.sensoryapphouse.com/index.php,,,,
Curing Perfect – the complete works,,"Are you perfect? Is anyone? Discover a world of imperfection in Curing Perfect – the new online, interactive graphic novel that explores ethical issues relating to stem cell research and gene therapy and its impact on disabled people.

Created by a team of learning disabled artists, Curing Perfect allows you to engage with the difficult issues of ‘curing’ disability and creating the perfect person.

The project is a collaboration between Carousel, Alex Peckham (Blast Theory), Simon Wilkinson (Circa69) and the University of Birmingham.

Play it now at www.curingperfect.com or download the app from the app store http://bit.ly/curingperfectapp",http://www.curingperfect.com/,,,,
Managing Attention Seeking Behaviour,,"In our fifteen page guide to managing attention seeking students, we share our proven response sequence for free, so you can benefit from our experience.",http://beaconschoolsupport.co.uk/attention-seeking.php,,,,
Therapy Directory,,"We promote the benefits of complementary therapy and aim to give visitors all the information they need to help them make an informed decision about whether therapy would be right for them. The website has an FAQ's section, a number of useful articles written by our members and the facility to search for a practitioner in your area. 

To ensure the professionalism of our website, all listed therapists have provided us with qualifications and insurance cover or proof of membership with a professional body.",http://www.therapy-directory.org.uk,,,,
User design,,This item has moved,/links/commercial/userdesign.html,,,,
Training Connector,,"We provide professionals in health, education and social care with a way to find their CPD.  This will enable them to deliver the best possible care, education and social support to their clients.  By creating a community of professionals we are encouraging sharing of specialist knowledge and expertise as well as a method of income generation for individuals and organisations.

We are the only national platform for you to find providers AND for you to advertise the CPD you offer. The community is free to join, free to advertise and you will have access to our simple search system to find great CPD opportunities.  Search our database of professionals or browse our conferences and short courses so you don’t have to spend time trawling the internet, looking on site after site, filtering the information and making comparisons.",http://www.trainingconnector.co.uk/,,,,
Complete guide to educational and special needs apps,,"The most detailed app guide for special needs families, speech therapists, occupational therapists, social workers and teachers! Our guide breaks down apps by skill set so you can easily find and buy apps that most benefit your child. Great for kids with autism spectrum disorder, ADHD, apraxia, learning disability, sensory issues and more. Included are apps for iPad, iPhone, iPod touch and some Android apps.",http://www.oneplaceforspecialneeds.com/main/library_special_needs_apps.html,,,,
Counselling Directory,,"This website is a support network of UK counsellors and
psychotherapists",http://www.counselling-directory.org.uk/,,,,
Beatrix Potter Spoken Stories,,"This is a lovely collection of spoken stories that can be accessed via a single click. Clear diction and large pictures. German, Japanese and French versions available for some of the stories too. Thanks to Chelsie Gordon and her pupil for the recommendation.",http://www.wiredforbooks.org/kids.htm,,,,
An American Refinance & Mortgage Guide for People with Disabilities,,"A housing guide, written from an American perspective, created specifically for people living with disabilities.",http://www.refinancemortgagerates.org/mortgage-guide-for-people-with-disabilities/,,,,
ZAC Browser - Zone for Autistic Children,,"ZAC is the first web browser developed specifically for children with autism, and autism spectrum disorders such as Asperger syndrome, pervasive developmental disorders (PDD), and PDD-NOS. We have made this browser for the children - for their enjoyment, enrichment, and freedom. Children touch it, use it, play it, interact with it, and experience independence through ZAC.  Thank you to Mart Pistorius for finding and recommending this little gem on the web.",http://www.zacbrowser.com/,,,,
Contact A Family (CAF) Directory,,"The CAF Directory is the UK’s leading guide to disabilities, health conditions and support available for children and their families.

It has information on more than 430 different disabilities and health conditions. There is also contact information for hundreds of groups and organisations offering support to families whose children have a specific condition.

This resource clearly explains disability and rare conditions to education, health, social care and all professionals working with disabled children. In the newly published edition, 72 existing entries have been updated and four new entries have been added.

Each entry is endorsed by a recognised expert in the relevant field. The overall content is guided by a medical advisory panel made up of leading consultants.",http://www.cafamily.org.uk/medical-information/,,,,
Animal Jam,,"Animal Jam features a full spectrum of play that caters to children at all ability levels and developmental stages. With constantly evolving educational content, children can discover real-world plant and animal facts, plus follow enriching storylines paired with National Geographic's multimedia educational content! Join a community featuring fun activities and games, as well as chat with online friends in a safe and moderated environment. Thanks to Sharon Cahill for the recommendation!",http://www.animaljam.com/,,,,
Talking Point,,"If you are a parent or family member of a child, in Parent Point you will find vital information on how to support your child's communication, or if your child has a communication disability, you will find out how you can support them. Information, FAQs and resources for professionals that work with children with communication disability.",http://www.ican.org.uk/en/What-we-do/I%20CAN%20Help/Talking%20Point.aspx,,,,
Sunshine Supported Holidays,,"Sunshine Supported Holidays is a private company offering 24hr supported holidays for guests with learning disabilities, mental illness, disabled people and the elderly on the Costa del Sol, Spain.
Our aim is to promote and encourage independence and enable lasting new friendships. We understand how important choice and control is to any person and we are here to ensure you have a holiday to remember.
You will receive a warm welcome from all our trained and qualified staff who are always ready to join in the fun. Whether you decide to fill your days and evenings with fun packed activities or of course, just relax, unwind and enjoy the sunshine by the pool - the choice will always be yours.
Please visit our website www.sunshine-supported-holidays.com for more information.",http://www.sunshine-supported-holidays.com,,,,
Advocate 4 Health,,"Advocate 4 Health are a group of people with a learning disability. The Advocate 4 Health project covers, Bexley, Bromley, Croydon, Greenwich, Sutton and Wandsworth. The website is designed for people with a learning disability to access easy to understand health information. It is also a place where service providers in the 6 boroughs can advertise their details and events",http://www.advocate4health.org.uk,,,,
Click Start,,"Easy to understand information about adult life for people with learning difficulties and disabilities. Portals currently exist for the London Boroughs of Barking & Dagenham, Hackney, Hammersmith & Fulham, Havering, Lewisham, Newham, Redbridge ...",http://www.clickstart.org.uk/,,,,
Q4S,,"The fully accessible resource promotes self advocacy by providing:

· practical advice and guidance to help disabled learners enhance their understanding about the reasonable adjustments that can be made to accommodate their disability in the  learning context;
· advice about what they might expect of their tutors in terms of adjustments to practice;
· a skills ‘self check’
· advice about disclosure and confidentiality;
· links to a range of multi format case studies;
· links to additional online resources.",http://www.q4s.eu/,,,,
SpecialEffect,,"Accessible Gaming Charity. Road-shows, loan-library of accessible gaming gear, advice, free games and more.",http://www.gamebase.info/,,,,
Cognable Assistive Technology Research,,"This is the brilliant website of Simon Evans, a researcher and developer with particular interest in use of the internet, assistive technologies and new media by and for people with Intellectual Disabilities (ID). Trail blazing technologies are showcased here. CTM loves this site!!!",http://www.cognable.com/,,,,
ReacTickles 2,,"Developed as part of a research project at the University of Wales in Cardiff; ReacTickles provides an engaging and accessible computer environment for spontaneous imaginative play and learning. ReacTickles provides a series of interactive Tickles through which children with autism and other learning disabilities are encouraged to use technology. Children can develop mouse; keyboard; whiteboard; switch and screen skills whilst being encouraged to communicate, to use fine motor skills and to work together. 

The software also works well within mainstream early years settings enabling very young children to interact and learn to communicate as individuals and within small groups. Version 2 improves on installation, interface, creation of bespoke user interfaces, access to teacher and pupil resources and has been switch enabled to further increase accessibility.",http://www.taglearning.com/reactickles-2.html,,,,
Games of precision,,Switch / IWB / Keyboard / Mouse timing games,http://papunet.net/games/games_of_precision,,,,
Holidays for people with learning disabilities,,"or for those who may need support for their mental health condition.

Tourism for All UK is a national charity dedicated to standards of world class tourism which are welcoming to all.

Visit the website for a list of holiday companies.",http://www.tourismforall.org.uk,,,,
Tardive Dyskinesia,,Tardive Dyskinesia (TD) is a movement disorder caused by Reglan and other prescription medications. Tardive Dyskinesia Center offers comprehensive and up-to-date information on TD and the medications that cause this disorder.,http://www.tardivedyskinesia.com,,,,
